2661,376
5914,252
1827,168
1002,290
124,6
4390,2001
790,354
4488,1572
4028,2688
1595,3523
1211,903
1979,871
4492,194
2123,1175
795,543
2579,246
4498,1395
4525,2024
1550,296
2426,1103
445,1425
624,860
165,126
135,804
820,2695
4074,348
1050,196
5793,1873
2036,1415
2173,5835
790,633
8784,1479
1985,536
4339,2023
4615,90
3280,367
222,1459
468,992
1434,2029
349,231
399,2592
2454,141
721,221
62,406
2513,2780
5891,738
747,2319
1742,4966
6358,301
719,1404
3570,283
2498,232
2823,141
44,90
603,810
6921,2290
2263,193
1269,704
5715,518
237,2792
4224,730
549,863
114,1592
1605,2104
215,301
212,816
3778,106
503,1081
2213,111
626,319
4080,179
5884,437
10504,3874
83,48
6369,1580
857,439
66,139
2636,484
876,2673
373,0
1997,423
3600,101
3170,111
413,2224
1587,810
5164,751
1234,33
3454,18
1573,935
2330,1473
83,617
4532,78
723,577
5960,1535
353,1013
1920,1190
1516,2303
1891,1221
2330,493
966,946
792,1768
149,697
986,1627
543,368
589,687
2282,408
3083,1405
4,624
2481,1529
1891,407
5048,265
3664,701
1227,251
2286,25
4435,215
643,85
2334,612
4688,1980
1013,1136
4735,1226
1266,1442
3506,1921
181,661
457,258
2583,556
47,2087
685,1236
2397,426
2343,366
2295,771
2889,983
1299,4290
5879,1084
6433,4103
951,1641
2318,422
836,1919
2777,456
6246,988
334,517
7291,1365
476,328
1791,528
513,517
4491,2168
1382,837
488,1030
1326,1642
392,31
1186,32
1076,449
653,772
114,305
5670,1083
4197,509
67,4230
1301,3895
253,1985
616,2406
2720,298
613,247
2749,3665
1160,997
1594,599
10,188
310,946
147,1855
2184,413
468,641
1515,23
5212,779
6842,785
6032,878
216,85
732,2372
969,638
2739,350
2181,9
1132,1049
1801,1535
1439,1145
172,930
608,2792
243,4218
3306,953
1901,161
2339,160
2282,1339
3210,403
486,776
3033,13
7546,528
1224,2933
4679,420
5035,876
2534,621
183,470
696,2133
305,389
1171,2765
366,1458
1724,496
1547,190
2053,1080
2341,2719
1688,1554
5994,1035
292,503
