2629,80
1226,483
646,671
926,1814
376,634
260,2221
114,1104
27,230
371,1773
1596,632
1263,402
1145,630
350,244
3058,1906
773,707
1315,582
450,1017
782,523
30,431
2205,1595
829,116
1524,634
1001,1021
779,418
464,485
4112,148
2169,3023
1106,192
1495,2112
1685,210
2914,188
1383,295
1876,84
707,961
771,1415
659,2130
96,834
996,1966
180,264
383,374
117,2104
2322,1429
65,671
502,854
337,1037
2747,1386
959,1928
258,57
2361,1870
1651,89
193,48
131,2490
221,328
741,797
1232,2955
835,172
960,1900
899,1587
563,503
91,695
57,780
490,147
93,925
87,270
438,335
238,1074
340,716
1974,543
196,374
2339,522
1480,456
493,664
168,177
1,2392
918,444
1595,3200
266,227
871,3143
118,538
1641,140
342,1036
1936,1351
143,458
72,2207
3853,2119
587,1189
315,2146
540,482
121,52
2481,675
270,786
249,1193
388,4036
1430,789
538,933
461,260
1131,302
1826,737
3604,219
2803,819
58,499
238,170
1765,30
1492,1574
541,854
17,2001
507,399
976,931
827,2311
98,969
350,1225
41,145
5416,54
496,1614
2282,447
253,461
787,813
5269,210
1968,1401
3290,856
185,4404
528,5
1096,458
1301,464
74,125
184,993
239,860
93,114
557,614
725,1130
114,2171
47,2226
344,1929
181,645
606,834
1282,1085
299,157
1009,347
533,1469
353,1342
42,745
9,298
1005,1677
2212,759
1737,554
175,3006
391,1163
1074,310
60,875
2170,45
615,1865
1958,1202
2250,14
1216,49
1376,507
500,489
15,750
620,2188
287,1616
258,1265
410,392
496,1744
1220,337
532,1380
1360,1820
529,642
74,270
47,1746
45,740
4892,753
1225,96
1216,294
1333,477
67,1005
2170,1362
112,122
116,3300
2460,470
2759,1004
1201,2237
2273,166
350,561
2413,15
680,1663
1513,254
132,3497
516,38
117,693
661,1002
4693,515
154,548
3461,100
261,2721
1405,348
783,2139
204,2
1243,625
3123,93
821,3576
555,234
58,849
637,696
602,7
331,370
533,406
2016,1255
4158,1520
1834,363
565,719
1203,1141
341,224
447,107
2140,227
286,2361
660,936
629,342
1090,1431
2215,1013
885,958
305,1275
664,456
1109,1891
906,457
490,275
482,667
70,923
266,1045
456,3386
708,614
311,687
394,22
10,372
1502,359
797,1587
291,587
1976,468
1122,2868
795,31
2656,2237
384,2972
614,9
108,1056
21,80
603,1029
423,145
1001,5633
212,838
681,3393
402,319
338,227
26,667
502,1735
703,910
953,469
550,24
715,729
103,83
1124,859
599,821
2926,107
796,1916
897,213
3369,2627
177,43
343,1109
462,1631
591,255
2081,148
541,496
909,338
1991,466
1084,810
694,323
232,2342
352,4445
224,190
295,1045
2927,30
482,1843
510,670
219,3520
2124,113
176,1224
2551,175
1865,262
1735,449
42,442
3738,79
1641,1198
1443,415
605,1029
3111,189
1011,1682
499,1266
2842,108
733,1080
841,970
557,633
2526,2414
11,116
846,247
774,201
259,43
1085,214
14,749
849,2741
958,469
254,280
410,65
1889,302
519,952
623,493
840,509
206,74
355,102
1517,3638
1320,385
1111,791
244,1550
473,798
1182,1805
1877,1701
1042,903
192,125
986,2737
161,663
1426,685
244,1272
460,1431
1087,263
169,595
2179,484
317,1349
1543,5579
3058,1681
457,743
1376,1844
421,806
795,409
87,2663
1019,57
427,1223
490,6850
555,78
2974,21
2452,3091
454,294
1225,561
236,589
